Image,Labels
00000270_img_front.jpg,"The scene is a nighttime city street with a car driving down the road. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. The car is positioned in"
00000190_img_front.jpg,"The image is a first-person view of a car driving down a highway. The car is on the road, and there is a mountain in the background. The road appears to be empty, and the car is the only visible vehicle. The scene"
00000340_img_front_2.jpg,"The scene is a computer-generated image of a city street with a red car driving down the road. There are several other cars on the street, including a black car and a yellow car. A fire hydrant is visible on the sidewalk,"
00000220_img_front.jpg,"The scene is a computer-generated image of a city street with a person riding a motorcycle. The motorcycle is positioned in the middle of the street, and the person is wearing a tank top. There are multiple traffic lights in"
00000060_img_front.jpg,"The scene is a computer-generated image of a street with a car driving down it. There are two other cars on the road, one behind the main car and another further ahead. A truck is also visible on the left side of the street"
00000340_img_front.jpg,"The scene is a nighttime city street with a wet road. A motorcycle is riding down the street, and a car is following closely behind. There are multiple traffic lights along the street, with one on the left side, one in the"
00000380_img_front.jpg,"The scene is a city street with a car driving down the middle of the road. The street is wet, possibly due to rain. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another"
00000060_img_front_2.jpg,"The scene is a nighttime city street with a bridge overhead. The street is empty, and there are no cars or pedestrians visible. The bridge has a yellow color, and the street is illuminated by streetlights. The"
00000070_img_front.jpg,"The image is a first-person view of a car driving down a wet road. The road is surrounded by trees, and there are multiple cars visible in the scene. The car in the foreground is driving on a paved road, while other"
00000480_img_front.jpg,"The scene is a computer-generated image of a red fire truck driving down a road. The fire truck is passing by a farm, and there is a person standing on the side of the road. The image also features a jeep park"
00000360_img_front.jpg,"The scene is a computer-generated image of a highway with a car driving down the road. There are multiple vehicles on the road, including a bus, a truck, and several cars. A person is riding a motorcycle in the middle"
00000410_img_front.jpg,"The scene is set in a dark city street at night. A car is driving down the road, and there are two motorcycles parked on the side of the street. A traffic light is visible in the distance, and a truck can"
00000500_img_front.jpg,"The scene is a computer-generated image of a highway at dusk. There are multiple cars on the road, including a motorcycle. The cars are driving in various directions, and some are closer to the viewer, while others are farther away"
00000430_img_front.jpg,"The scene is a computer-generated image of a city street at night. There are multiple traffic lights, with one on the left side, another in the middle, and a third on the right side of the street. A car is driving down the"
00000100_img_front.jpg,"The scene is a computer-generated image of a fire truck driving down a street. The fire truck is positioned in the middle of the street, and there are two people visible in the scene, one closer to the left side and the"
00000160_img_front.jpg,"The image is a first-person perspective of a car driving down a dark road. The road is surrounded by trees, creating a serene atmosphere. The car is the main focus of the scene, and the road appears to be empty, with no"
00000170_img_front.jpg,"The image is a 3D rendering of a road with trees on both sides. The road is empty, and the trees are lush and green. The scene is set in a forest, and the road appears to be a two-lane highway"
00000260_img_front.jpg,"The scene is a nighttime city street with a red traffic light. There are multiple cars on the street, including a red car in the middle of the scene. A truck is also visible on the left side of the street. The street is"
00000320_img_front.jpg,"The scene is a nighttime city street with a car driving down the road. There are multiple cars on the street, including one in front of the car and others behind it. A truck is also visible on the road. The street is l"
00000020_img_front.png,"The scene is a computer-generated image of a street with a fence on the side. There are several people walking along the street, with one person closer to the fence and others scattered throughout the scene. The street appears to be foggy"
