Image,Labels
00000270_img_front.jpg,"A car is driving down an empty street at night. The street is lined with tall buildings, and there are traffic lights at various points along the road. The street appears to be deserted, with no other vehicles or pedestrians visible in the scene."
00000190_img_front.jpg,A car is driving on an empty road with mountains in the background.
00000340_img_front_2.jpg,A red car is driving down a snowy street. There are other cars and a fire hydrant in the scene.
00000220_img_front.jpg,A person is riding a motorcycle on a city street.
00000060_img_front.jpg,"The image is a 3D simulation of a city street with cars and trucks driving down the road. There are two trucks and two cars visible in the scene, with one of the trucks and one of the cars being closer to the viewer. The street is lined with buildings, and there is a traffic light visible in the middle of the scene. The overall atmosphere is that of a bustling urban environment."
00000340_img_front.jpg,"A car is driving down a rain-soaked city street at night. The streetlights are on, illuminating the scene. There are a few other cars on the street, and a motorcycle is also present. A person can be seen standing on the sidewalk, and a traffic light is visible in the distance."
00000380_img_front.jpg,"A car is driving down a rain-soaked city street. The street is lined with tall buildings, and there are traffic lights at various points along the road. The street appears to be deserted, with no other cars or pedestrians visible in the scene."
00000060_img_front_2.jpg,"A car is driving under a bridge at night. The street is empty, and there are no other vehicles or pedestrians visible in the scene."
00000070_img_front.jpg,"The image is a first-person perspective of a car driving down a street. The street is lined with trees on both sides, creating a scenic atmosphere. There are a few cars on the road, including one in front of the car and another behind it. Additionally, there are a couple of traffic lights along the street, ensuring the safe flow of traffic."
00000480_img_front.jpg,A red and yellow fire truck is parked on the side of the road. A jeep is parked in front of the fire truck.
00000360_img_front.jpg,"The image is a first-person perspective of a car driving down a foggy road. There are multiple cars on the road, including one in front of the car and another behind it. A motorcycle is also present on the road, and a bus is visible in the distance. The overall atmosphere of the scene is gloomy due to the foggy weather."
00000410_img_front.jpg,"A car is driving down a street at night. There is a motorcycle parked on the left side of the street. A traffic light is visible on the right side of the street. The street appears to be deserted, with no other vehicles or pedestrians in sight."
00000500_img_front.jpg,"The image is a first-person perspective of a car driving on a highway. There are several other cars on the road, including one in front of the car and others behind it. The sky is visible in the background, and there is a mountain in the distance. Trees can also be seen along the highway, adding to the scenery."
00000430_img_front.jpg,A woman is crossing the street at a crosswalk.
00000100_img_front.jpg,A red and yellow fire truck is driving down the street.
00000160_img_front.jpg,"A car is driving down a dark road with trees on both sides. The road is empty, and there are no other vehicles or pedestrians visible in the scene."
00000170_img_front.jpg,A tree-lined road with a car driving down it.
00000260_img_front.jpg,"A car is driving down a street at night. The street is empty, and there are no other cars or pedestrians visible. The streetlights are on, illuminating the area."
00000320_img_front.jpg,"The image is a 3D simulation of a car driving down a road at night. There are multiple cars on the road, including a blue car in front of the viewer's car. The road is surrounded by trees, and there is a stop sign visible in the distance. The scene captures the feeling of driving at night, with the car's headlights illuminating the road ahead."
00000020_img_front.png,A person is walking on a sidewalk near a fence.
